,,,,,,,,,,,,,,,,,,,
,garden_grass_1,,,,garden_grass_3,,,,,,garden_grass_1,,,,,,misc_sign,misc_sign,
,,@,@,@,@,,,outside_metal_fence_1,,,,wall_01_broke,,,,,,,garden_grass_3
,,garden_tree_11,,,@,,,outside_metal_fence_1,,,,,,,outside_metal_fence_1,@,@,outside_metal_fence_1,garden_grass_3
,,garden_tree_11,,,window_01_broke,,,outside_metal_fence_1,,wall_01_broke,,,@,garden_stone,,,,,
,misc_sign,misc_blood,,garden_stone,@,misc_blood,,outside_wooden_fence_1,,,,garden_grass_2,@,,,,,,
,misc_sign,,,misc_dead,@,crate,garden_grass_3,outside_wooden_fence_1,,,@,@,@,wall_01_broke,,,,misc_blood,
,,,,,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,,,@,crate,,,,,garden_grass_1,wall_01_part_right,@
,,garden_grass_1,,,,,garden_grass_3,,,,window_01_broke_barricate,,,,,,,@,@
outside_wooden_fence_1,,,,garden_tree_11,outside_wooden_fence_1,garden_stone,,,,garden_grass_2,@,,,,,,garden_grass_2,@,wall_01_part_left_top
outside_wooden_fence_1,,,@,@,@,,,,@,@,@,window_01_close,@,@,garden_tree_11,garden_tree_11,misc_dead,@,garden_stone
outside_wooden_fence_1,misc_blood,,window_01_broke,garden_grass_3,,,garden_grass_1,,door_02_broke,,garden_stone,,wall_01_part_right_top,@,,water_top_right_01,water_top_left_01,outside_metal_fence_1,
,,,@,wall_01_broke,,,,,window_01_broke_barricate,,,,,@,garden_grass_2,water_right_01,water_left_01,outside_metal_fence_1,
,,,,,,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,wall_01_part_left,,garden_grass_1,wall_01_part_right,@,outside_metal_fence_1,water_bottom_right_01,water_bottom_left_01,outside_metal_fence_1,garden_grass_2
,garden_grass_1,,,,,,,,,,,,,,,,,,
